slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
a-m-commerce,"A&M-Commerce",A&M-CO,2018-19,2023-24,3,37
a-m-texarkana,"A&M Texarkana",AT,2024-25,2024-25,1,12
aamu,"AAMU",AAMU,2018-19,2025-26,8,120
abil-christian,"Abil.Christian",ABIL.C,2013-14,2017-18,5,64
academy-of-art,"Academy of Art",AOA,2011-12,2011-12,1,10
acu,"ACU",ACU,2018-19,2025-26,8,116
adams-st,"Adams St.",AS,2014-15,2017-18,3,35
adrian,"Adrian",ADRIAN,2016-17,2020-21,2,29
air-force,"Air Force",AF,2010-11,2025-26,16,294
akron,"Akron",AKRON,2010-11,2025-26,16,240
al-huntsville,"Al.-Huntsville",AL.-HU,2012-13,2013-14,2,24
alabama,"Alabama",ALABAM,2010-11,2025-26,16,239
alabama-a-m,"Alabama A&M",AA,2010-11,2017-18,8,144
alabama-st,"Alabama St.",AS,2010-11,2025-26,16,255
alaska-anch,"Alaska-Anch.",ALASKA,2011-12,2018-19,8,89
albany,"Albany",ALBANY,2010-11,2025-26,16,233
albany-st,"Albany St.",AS,2015-16,2023-24,3,34
albertus-magnus,"Albertus Magnus",AM,2012-13,2013-14,2,23
albion,"Albion",ALBION,2013-14,2018-19,4,56
albright,"Albright",ALBRIG,2011-12,2011-12,1,15
alcorn-st,"Alcorn St.",AS,2010-11,2025-26,16,260
alfred-st,"Alfred St.",AS,2014-15,2014-15,1,13
alice-lloyd,"Alice Lloyd",AL,2011-12,2024-25,8,111
allen,"Allen",ALLEN,2011-12,2018-19,8,112
alma,"Alma",ALMA,2014-15,2019-20,3,41
amc,"AMC",AMC,2023-24,2023-24,1,15
american,"American",AMERIC,2010-11,2025-26,16,244
anderson,"Anderson",ANDERS,2019-20,2024-25,3,30
anderson-in,"Anderson IN",AI,2011-12,2017-18,4,49
anderson-sc,"Anderson SC",AS,2012-13,2016-17,2,23
andrews,"Andrews",ANDREW,2023-24,2023-24,1,15
angelo-st,"Angelo St.",AS,2015-16,2023-24,3,32
antelope-valley,"Antelope Valley",AV,2015-16,2023-24,6,70
app-state,"App State",AS,2018-19,2025-26,8,112
appalachian-st,"Appalachian St.",AS,2010-11,2017-18,8,140
apprentice,"Apprentice",APPREN,2019-20,2024-25,3,39
aquinas-coll,"Aquinas Coll.",AC,2014-15,2024-25,6,82
arcadia,"Arcadia",ARCADI,2011-12,2023-24,4,48
ariz-christian,"Ariz.Christian",ARIZ.C,2011-12,2016-17,5,66
arizona,"Arizona",ARIZON,2010-11,2025-26,16,254
arizona-st,"Arizona St.",AS,2010-11,2025-26,16,244
ark-fort-smith,"Ark.-Fort Smith",AS,2013-14,2017-18,5,53
ark-monticello,"Ark.-Monticello",ARK.-M,2014-15,2016-17,3,31
ark-pine-bluff,"Ark.-Pine Bluff",AB,2010-11,2017-18,8,144
arkansas,"Arkansas",ARKANS,2010-11,2025-26,16,230
arkansas-bapt,"Arkansas Bapt.",AB,2023-24,2024-25,2,25
arkansas-st,"Arkansas St.",AS,2010-11,2025-26,16,225
arkansas-tech,"Arkansas Tech",AT,2014-15,2019-20,3,37
arlington-baptist,"Arlington Baptist",AB,2011-12,2024-25,12,158
army,"Army",ARMY,2010-11,2025-26,16,336
asbury,"Asbury",ASBURY,2011-12,2024-25,6,89
asu,"ASU",ASU,2020-21,2023-24,2,23
auburn,"Auburn",AUBURN,2010-11,2025-26,16,269
auburn-montgomery,"Auburn-Montgomery",AUBURN,2013-14,2015-16,3,33
augusta,"Augusta",AUGUST,2024-25,2024-25,1,8
augustana-il,"Augustana IL",AI,2017-18,2017-18,1,12
aum,"AUM",AUM,2019-20,2024-25,2,24
aurora,"Aurora",AURORA,2014-15,2024-25,3,40
austin,"Austin",AUSTIN,2011-12,2016-17,4,71
austin-peay,"Austin Peay",AP,2018-19,2025-26,8,109
austin-peay-st,"Austin Peay St.",APS,2010-11,2017-18,8,118
ave-maria,"Ave Maria",AM,2011-12,2023-24,9,100
averett,"Averett",AVERET,2011-12,2024-25,7,100
avila,"Avila",AVILA,2014-15,2024-25,6,79
bacone,"Bacone",BACONE,2011-12,2020-21,4,46
baker,"Baker",BAKER,2014-15,2014-15,1,12
ball-st,"Ball St.",BS,2010-11,2025-26,16,235
barber-scotia,"Barber Scotia",BS,2011-12,2014-15,3,27
barclay,"Barclay",BARCLA,2017-18,2017-18,1,12
bard,"Bard",BARD,2023-24,2023-24,1,11
baruch,"Baruch",BARUCH,2013-14,2023-24,2,23
baylor,"Baylor",BAYLOR,2010-11,2025-26,16,222
bcu,"BCU",BCU,2018-19,2025-26,7,98
belhaven,"Belhaven",BELHAV,2011-12,2023-24,5,58
bellarmine,"Bellarmine",BELLAR,2020-21,2025-26,6,83
bellevue,"Bellevue",BELLEV,2018-19,2023-24,2,22
belm-abbey,"Belm.Abbey",BELM.A,2015-16,2020-21,4,46
belmont,"Belmont",BELMON,2010-11,2025-26,16,245
bemidji-st,"Bemidji St.",BS,2017-18,2018-19,2,24
bened-mesa,"Bened.-Mesa",BENED.,2015-16,2017-18,3,36
bened-springfield,"Bened.-Springfield",BENED.,2012-13,2012-13,1,13
benedictine,"Benedictine",BENEDI,2018-19,2024-25,2,31
benedictine-ks,"Benedictine KS",BK,2011-12,2011-12,1,12
benum,"BENUM",BENUM,2018-19,2024-25,5,63
berea,"Berea",BEREA,2012-13,2023-24,5,61
berry,"Berry",BERRY,2014-15,2023-24,2,26
beth-cookman,"Beth.-Cookman",BETH.-,2010-11,2017-18,7,123
bethany-ks,"Bethany KS",BK,2017-18,2019-20,3,39
bethany-wv,"Bethany WV",BW,2017-18,2024-25,3,48
bethe-sda,"Bethe sda",BS,2024-25,2024-25,1,22
bethel-in,"Bethel IN",BI,2023-24,2023-24,1,11
bethel-tn,"Bethel TN",BT,2011-12,2024-25,10,133
bethesda,"Bethesda",BETHES,2013-14,2023-24,9,152
bgsu,"BGSU",BGSU,2018-19,2025-26,8,106
binghamton,"Binghamton",BINGHA,2010-11,2025-26,16,246
biola-ca,"Biola CA",BC,2015-16,2015-16,1,12
black-hills-st,"Black Hills St.",BHS,2013-14,2017-18,4,47
blackburn,"Blackburn",BLACKB,2023-24,2024-25,2,19
bloomsburg,"Bloomsburg",BLOOMS,2018-19,2023-24,2,24
blue-mountain,"Blue Mountain",BM,2011-12,2017-18,5,64
bluefield,"Bluefield",BLUEFI,2011-12,2024-25,9,108
bluefield-st,"Bluefield St.",BS,2013-14,2020-21,5,61
bluffton,"Bluffton",BLUFFT,2014-15,2024-25,2,35
bmc,"BMC",BMC,2018-19,2019-20,2,26
bmcu,"BMCU",BMCU,2023-24,2023-24,1,14
bob-jones,"Bob Jones",BJ,2013-14,2024-25,8,96
boise-st,"Boise St.",BS,2010-11,2025-26,16,230
boston-coll,"Boston Coll.",BC,2010-11,2025-26,16,260
boston-u,"Boston U.",BU,2010-11,2025-26,16,260
bowdoin,"Bowdoin",BOWDOI,2024-25,2024-25,1,11
bowie-st,"Bowie St.",BS,2015-16,2024-25,3,37
bowling-green,"Bowling Green",BG,2010-11,2017-18,8,148
boyce,"Boyce",BOYCE,2015-16,2024-25,6,79
bradley,"Bradley",BRADLE,2010-11,2025-26,16,248
brescia-ky,"Brescia KY",BK,2011-12,2024-25,11,156
brevard,"Brevard",BREVAR,2011-12,2024-25,10,127
brewton-parker,"Brewton Parker",BP,2011-12,2024-25,9,113
bridgewater,"Bridgewater",BRIDGE,2011-12,2023-24,8,106
bristol,"Bristol",BRISTO,2014-15,2016-17,3,36
brockport-st,"Brockport St.",BS,2024-25,2024-25,1,16
brown,"Brown",BROWN,2010-11,2025-26,15,253
bryan,"Bryan",BRYAN,2018-19,2024-25,4,55
bryant,"Bryant",BRYANT,2010-11,2025-26,16,264
bryn-athyn,"Bryn Athyn",BA,2015-16,2024-25,7,92
bsc,"BSC",BSC,2018-19,2023-24,3,46
bucknell,"Bucknell",BUCKNE,2010-11,2025-26,16,245
buena-vista,"Buena Vista",BV,2016-17,2018-19,2,30
buffalo,"Buffalo",BUFFAL,2010-11,2025-26,16,232
buffalo-st,"Buffalo St.",BS,2023-24,2023-24,1,15
butler,"Butler",BUTLER,2010-11,2025-26,16,239
bwu,"BWU",BWU,2024-25,2024-25,1,15
byu,"BYU",BYU,2010-11,2025-26,16,257
byu-hawaii,"BYU-Hawaii",BYU-HA,2011-12,2015-16,2,23
c-n,"C-N",C-N,2019-20,2019-20,1,11
cabrini,"Cabrini",CABRIN,2016-17,2016-17,1,11
cairn,"Cairn",CAIRN,2011-12,2024-25,9,119
cal-davis,"Cal-Davis",CAL-DA,2010-11,2017-18,8,135
cal-irvine,"Cal-Irvine",CAL-IR,2010-11,2017-18,8,139
cal-lutheran,"Cal Lutheran",CL,2011-12,2019-20,5,73
cal-maritime,"Cal Maritime",CM,2011-12,2024-25,5,69
cal-merced,"Cal Merced",CM,2013-14,2017-18,3,34
cal-poly,"Cal Poly",CP,2018-19,2025-26,8,112
cal-poly-slo,"Cal Poly - SLO",CP-S,2010-11,2017-18,8,155
cal-riverside,"Cal-Riverside",CAL-RI,2010-11,2017-18,8,140
cal-san-diego,"Cal-San Diego",CD,2014-15,2015-16,2,27
cal-santa-cruz,"Cal-Santa Cruz",CC,2011-12,2017-18,3,38
cal-tech,"Cal Tech",CT,2018-19,2018-19,1,10
caldwell,"Caldwell",CALDWE,2013-14,2019-20,3,34
california,"California",CALIFO,2010-11,2025-26,16,252
california-tech,"California Tech",CT,2016-17,2016-17,1,15
calumet,"Calumet",CALUME,2011-12,2024-25,3,40
calvary,"Calvary",CALVAR,2018-19,2018-19,1,12
calvary-bible,"Calvary Bible",CB,2017-18,2024-25,2,22
calvin,"Calvin",CALVIN,2020-21,2020-21,1,11
cameron,"Cameron",CAMERO,2011-12,2014-15,3,36
camp-harrodsburg,"Camp-Harrodsburg",CAMP-H,2018-19,2024-25,4,50
campbell,"Campbell",CAMPBE,2010-11,2025-26,16,265
campbellsville,"Campbellsville",CAMPBE,2013-14,2024-25,5,53
canisius,"Canisius",CANISI,2010-11,2025-26,16,235
canton,"Canton",CANTON,2023-24,2024-25,2,38
capital,"Capital",CAPITA,2014-15,2024-25,2,28
carlow,"Carlow",CARLOW,2020-21,2020-21,1,8
carolina,"Carolina",CAROLI,2018-19,2024-25,4,51
carolina-christian,"Carolina Christian",CC,2023-24,2024-25,2,21
carroll-mt,"Carroll MT",CM,2012-13,2023-24,6,74
carver-bible,"Carver Bible",CB,2011-12,2020-21,5,63
case-w-reserve,"Case W.Reserve",CW,2014-15,2014-15,1,14
catawba,"Catawba",CATAWB,2014-15,2020-21,3,31
catholic,"Catholic",CATHOL,2013-14,2017-18,3,37
cbc,"CBC",CBC,2020-21,2020-21,1,10
cbs-houston,"CBS Houston",CH,2023-24,2024-25,2,27
cbu,"CBU",CBU,2018-19,2025-26,8,100
ccny,"CCNY",CCNY,2013-14,2018-19,3,38
ccsu,"CCSU",CCSU,2018-19,2025-26,8,106
ccu,"CCU",CCU,2018-19,2024-25,5,62
cedarville,"Cedarville",CEDARV,2011-12,2020-21,5,58
cent-arkansas,"Cent Arkansas",CA,2018-19,2025-26,8,110
cent-arkansas,"Cent.Arkansas",CENT.A,2010-11,2017-18,8,149
cent-baptist,"Cent.Baptist",CENT.B,2012-13,2016-17,5,75
cent-cc-bible,"Cent.CC Bible",CB,2019-20,2023-24,2,23
cent-conn-st,"Cent.Conn.St.",CENT.C,2010-11,2017-18,8,134
cent-florida,"Cent.Florida",CENT.F,2010-11,2017-18,8,137
cent-methodist,"Cent.Methodist",CENT.M,2011-12,2013-14,2,22
cent-michigan,"Cent.Michigan",CENT.M,2010-11,2017-18,8,152
cent-penn,"Cent.Penn",CENT.P,2011-12,2024-25,11,157
cent-washington,"Cent.Washington",CENT.W,2016-17,2016-17,1,9
centenary-la,"Centenary LA",CL,2010-11,2019-20,10,150
centenary-nj,"Centenary NJ",CN,2017-18,2019-20,3,36
central-st,"Central St.",CS,2018-19,2024-25,3,38
central-state,"Central State",CS,2015-16,2017-18,2,27
chadron-st,"Chadron St.",CS,2011-12,2024-25,4,42
chaminade,"Chaminade",CHAMIN,2011-12,2023-24,9,111
champion,"Champion",CHAMPI,2011-12,2024-25,10,127
chapman,"Chapman",CHAPMA,2011-12,2024-25,5,66
charleston,"Charleston",CHARLE,2010-11,2025-26,16,255
charleston-so,"Charleston So.",CS,2010-11,2025-26,16,256
charlotte,"Charlotte",CHARLO,2010-11,2025-26,16,238
chatham,"Chatham",CHATHA,2016-17,2024-25,2,36
chattanooga,"Chattanooga",CHATTA,2010-11,2025-26,16,248
chestnut-hill,"Chestnut Hill",CH,2013-14,2024-25,6,67
cheyney,"Cheyney",CHEYNE,2011-12,2024-25,6,70
chicago-st,"Chicago St.",CS,2010-11,2025-26,16,254
chicago-univ,"Chicago Univ.",CU,2019-20,2019-20,1,12
chowan,"Chowan",CHOWAN,2011-12,2020-21,6,72
christendom,"Christendom",CHRIST,2017-18,2024-25,5,43
cinc-clermont,"Cinc.-Clermont",CINC.-,2014-15,2019-20,4,45
cincin-christian,"Cincin.Christian",CINCIN,2012-13,2015-16,4,46
cincinnati,"Cincinnati",CINCIN,2010-11,2025-26,16,243
citadel,"Citadel",CITADE,2010-11,2025-26,16,225
ciu,"CIU",CIU,2018-19,2024-25,5,75
claflin,"Claflin",CLAFLI,2011-12,2016-17,3,28
clarion,"Clarion",CLARIO,2018-19,2018-19,1,10
clark-atlanta,"Clark Atlanta",CA,2023-24,2023-24,1,11
clark-summit,"Clark Summit",CS,2013-14,2019-20,6,81
clarks-summit,"Clarks Summit",CS,2023-24,2023-24,1,20
clayton-st,"Clayton St.",CS,2014-15,2014-15,1,9
clearwater-chr,"Clearwater Chr.",CC,2013-14,2013-14,1,10
cleary,"Cleary",CLEARY,2023-24,2024-25,2,25
clemson,"Clemson",CLEMSO,2010-11,2025-26,16,246
cleveland-st,"Cleveland St.",CS,2010-11,2017-18,8,142
cmu,"CMU",CMU,2018-19,2025-26,8,113
co-carolina,"Co.Carolina",CO.CAR,2010-11,2017-18,8,143
co-georgia,"Co.Georgia",CO.GEO,2011-12,2024-25,8,93
coast-guard,"Coast Guard",CG,2013-14,2023-24,3,38
coastal,"Coastal",COASTA,2018-19,2025-26,8,99
coe,"Coe",COE,2013-14,2023-24,6,104
coker,"Coker",COKER,2011-12,2023-24,9,111
colby-sawyer,"Colby-Sawyer",COLBY-,2023-24,2024-25,2,29
colgate,"Colgate",COLGAT,2010-11,2025-26,16,260
college-of-faith,"College of Faith",COF,2014-15,2014-15,1,10
colorado,"Colorado",COLORA,2010-11,2025-26,16,251
colorado-christian,"Colorado Christian",CC,2011-12,2016-17,5,63
colorado-coll,"Colorado Coll.",CC,2013-14,2024-25,5,78
colorado-mesa,"Colorado Mesa",CM,2013-14,2017-18,2,27
colorado-springs,"Colorado Springs",CS,2013-14,2013-14,1,15
colorado-st,"Colorado St.",CS,2010-11,2025-26,16,226
columbia,"Columbia",COLUMB,2010-11,2025-26,15,275
columbia-internat,"Columbia Internat.",CI,2013-14,2017-18,5,65
columbia-sc,"Columbia SC",CS,2024-25,2024-25,1,11
columbus-st,"Columbus St.",CS,2013-14,2020-21,2,23
concord,"Concord",CONCOR,2017-18,2019-20,2,25
concordia-al,"Concordia AL",CA,2011-12,2017-18,3,36
concordia-il,"Concordia IL",CI,2018-19,2019-20,2,30
concordia-mi,"Concordia MI",CM,2011-12,2024-25,7,103
concordia-mn,"Concordia MN",CM,2023-24,2023-24,1,14
concordia-ne,"Concordia NE",CN,2017-18,2017-18,1,15
concordia-or,"Concordia OR",CO,2011-12,2016-17,4,49
concordia-sp,"Concordia-SP",CONCOR,2024-25,2024-25,1,13
concordia-st-paul,"Concordia-St.Paul",CONCOR,2014-15,2017-18,2,18
concordia-tx,"Concordia TX",CT,2018-19,2019-20,2,23
concordia-wi,"Concordia WI",CW,2019-20,2019-20,1,10
connecticut,"Connecticut",CONNEC,2010-11,2017-18,8,144
connecticut-c,"Connecticut C.",CC,2019-20,2019-20,1,14
coppin-st,"Coppin St.",CS,2010-11,2025-26,16,248
corban,"Corban",CORBAN,2012-13,2024-25,5,56
cornell,"Cornell",CORNEL,2010-11,2025-26,15,293
cornell-coll,"Cornell Coll.",CC,2017-18,2019-20,2,31
cortland-st,"Cortland St.",CS,2018-19,2019-20,2,28
covenant,"Covenant",COVENA,2011-12,2023-24,7,102
crc,"CRC",CRC,2019-20,2024-25,3,42
creighton,"Creighton",CREIGH,2010-11,2025-26,16,246
crowleys-ridge,"Crowleys Ridge",CR,2011-12,2016-17,6,77
crown,"Crown",CROWN,2016-17,2024-25,4,62
cs-dominguez-h,"CS Dominguez H.",CDH,2011-12,2016-17,5,51
cs-east-bay,"CS East Bay",CEB,2014-15,2016-17,3,36
cs-fullerton,"CS Fullerton",CF,2010-11,2025-26,16,247
cs-los-angeles,"CS Los Angeles",CLA,2014-15,2019-20,5,55
cs-monterey,"CS Monterey",CM,2011-12,2017-18,3,33
cs-northridge,"CS Northridge",CN,2010-11,2017-18,8,147
cs-san-marcos,"CS San Marcos",CSM,2011-12,2012-13,2,20
cs-stanislaus,"CS Stanislaus",CS,2018-19,2024-25,4,55
csc,"CSC",CSC,2020-21,2020-21,1,11
csu,"CSU",CSU,2018-19,2025-26,8,110
csu-bakersfield,"CSU Bakersfield",CB,2010-11,2017-18,8,139
csu-pueblo,"CSU-Pueblo",CSU-PU,2020-21,2023-24,2,23
csub,"CSUB",CSUB,2018-19,2025-26,8,99
csudh,"CSUDH",CSUDH,2018-19,2023-24,2,23
csun,"CSUN",CSUN,2018-19,2025-26,8,103
csusb,"CSUSB",CSUSB,2019-20,2019-20,1,13
csusm,"CSUSM",CSUSM,2018-19,2018-19,1,9
cui,"CUI",CUI,2020-21,2023-24,2,21
culver-stockton,"Culver Stockton",CS,2017-18,2017-18,1,15
cumberland,"Cumberland",CUMBER,2011-12,2019-20,5,60
cumberlands,"Cumberlands",CUMBER,2024-25,2024-25,1,13
cune,"CUNE",CUNE,2018-19,2018-19,1,15
curry,"Curry",CURRY,2017-18,2023-24,3,43
cwu,"CWU",CWU,2018-19,2018-19,1,13
d-youville,"D'Youville",D'YOUV,2023-24,2023-24,1,12
dakota-st,"Dakota St.",DS,2011-12,2017-18,3,32
dallas,"Dallas",DALLAS,2023-24,2024-25,2,31
dallas-baptist,"Dallas Baptist",DB,2013-14,2013-14,1,9
dallas-christian,"Dallas Christian",DC,2011-12,2024-25,12,146
dalton-st,"Dalton St.",DS,2013-14,2024-25,5,57
daniel-webster,"Daniel Webster",DW,2013-14,2016-17,4,55
dartmouth,"Dartmouth",DARTMO,2010-11,2025-26,15,259
davenport,"Davenport",DAVENP,2019-20,2024-25,3,32
davidson,"Davidson",DAVIDS,2010-11,2025-26,16,271
davis-elkins,"Davis & Elkins",D&E,2018-19,2024-25,2,31
dayton,"Dayton",DAYTON,2010-11,2025-26,16,259
dean,"Dean",DEAN,2016-17,2024-25,2,26
defiance,"Defiance",DEFIAN,2013-14,2024-25,6,93
delaware,"Delaware",DELAWA,2010-11,2025-26,16,247
delaware-st,"Delaware St.",DS,2010-11,2025-26,16,280
delta-st,"Delta St.",DS,2019-20,2023-24,2,21
delval,"DelVal",DELVAL,2023-24,2023-24,1,14
denison,"Denison",DENISO,2015-16,2015-16,1,15
denver,"Denver",DENVER,2010-11,2025-26,16,249
depaul,"DePaul",DEPAUL,2010-11,2025-26,16,243
depauw,"DePauw",DEPAUW,2023-24,2023-24,1,15
desales,"DeSales",DESALE,2018-19,2018-19,1,14
detroit,"Detroit",DETROI,2018-19,2025-26,8,115
detroit-mercy,"Detroit Mercy",DM,2010-11,2017-18,8,130
dickinson,"Dickinson",DICKIN,2024-25,2024-25,1,14
dickinson-st,"Dickinson St.",DS,2014-15,2024-25,5,56
dillard,"Dillard",DILLAR,2011-12,2024-25,7,85
district-of-col,"District of Col.",DOC,2011-12,2011-12,1,10
dixie-st,"Dixie St.",DS,2018-19,2021-22,3,39
doane,"Doane",DOANE,2016-17,2023-24,5,73
dominican-ca,"Dominican CA",DC,2012-13,2012-13,1,10
dominican-il,"Dominican IL",DI,2018-19,2018-19,1,18
drake,"Drake",DRAKE,2010-11,2025-26,16,238
drexel,"Drexel",DREXEL,2010-11,2025-26,16,244
dubuque,"Dubuque",DUBUQU,2015-16,2024-25,4,66
duke,"Duke",DUKE,2010-11,2025-26,16,233
duquesne,"Duquesne",DUQUES,2010-11,2025-26,16,266
dwu,"DWU",DWU,2023-24,2024-25,2,34
e-carolina,"E.Carolina",E.CARO,2010-11,2017-18,8,148
e-h,"E&H",E&H,2019-20,2019-20,1,11
e-illinois,"E.Illinois",E.ILLI,2010-11,2017-18,8,147
e-kentucky,"E.Kentucky",E.KENT,2010-11,2017-18,8,149
e-mennonite,"E.Mennonite",E.MENN,2015-16,2018-19,3,41
e-michigan,"E.Michigan",E.MICH,2010-11,2017-18,8,144
e-new-mexico,"E.New Mexico",EM,2011-12,2017-18,4,47
e-oregon,"E.Oregon",E.OREG,2014-15,2024-25,6,72
e-tenn-st,"E.Tenn.St.",E.TENN,2010-11,2017-18,8,139
e-texas-baptist,"E.Texas Baptist",EB,2011-12,2017-18,2,26
e-washington,"E.Washington",E.WASH,2010-11,2017-18,8,145
earlham,"Earlham",EARLHA,2013-14,2024-25,5,65
east-central,"East Central",EC,2015-16,2017-18,3,36
east-west,"East-West",EAST-W,2016-17,2024-25,5,67
eastern,"Eastern",EASTER,2013-14,2017-18,2,27
ecclesia,"Ecclesia",ECCLES,2011-12,2024-25,11,122
eckerd,"Eckerd",ECKERD,2013-14,2015-16,3,34
ecsu,"ECSU",ECSU,2023-24,2024-25,2,30
ecu,"ECU",ECU,2018-19,2025-26,8,115
edinboro,"Edinboro",EDINBO,2019-20,2019-20,1,11
edward-waters,"Edward Waters",EW,2012-13,2017-18,6,63
eiu,"EIU",EIU,2018-19,2025-26,8,110
eku,"EKU",EKU,2018-19,2025-26,8,107
elizabeth-city,"Elizabeth City",EC,2011-12,2017-18,3,36
elizabethtown,"Elizabethtown",ELIZAB,2019-20,2019-20,1,15
elmhurst,"Elmhurst",ELMHUR,2013-14,2013-14,1,13
elmira,"Elmira",ELMIRA,2017-18,2019-20,3,47
elms,"Elms",ELMS,2018-19,2024-25,3,45
elon,"Elon",ELON,2010-11,2025-26,16,277
embry-riddle-aero,"Embry-Riddle Aero",EA,2015-16,2017-18,2,19
emerson,"Emerson",EMERSO,2014-15,2024-25,8,110
emmanuel-ga,"Emmanuel GA",EG,2015-16,2020-21,2,27
emory,"Emory",EMORY,2011-12,2017-18,2,21
